aiohappyeyeballs                  2.6.1
aiohttp                           3.12.15
aiosignal                         1.4.0
annotated-types                   0.7.0
anyio                             4.10.0
appdirs                           1.4.4
astor                             0.8.1
attrs                             25.3.0
blake3                            1.0.5
cachetools                        6.1.0
cbor2                             5.7.0
certifi                           2025.8.3
cffi                              1.17.1
charset-normalizer                3.4.3
click                             8.2.1
cloudpickle                       3.1.1
compressed-tensors                0.10.2
cupy-cuda12x                      13.6.0
depyf                             0.19.0
dill                              0.4.0
diskcache                         5.6.3
distro                            1.9.0
dnspython                         2.7.0
einops                            0.8.1
email_validator                   2.2.0
fastapi                           0.116.1
fastapi-cli                       0.0.8
fastapi-cloud-cli                 0.1.5
fastapi_offline                   1.7.4
fastrlock                         0.8.3
filelock                          3.19.1
frozenlist                        1.7.0
fsspec                            2025.7.0
gguf                              0.17.1
greenlet                          3.2.4
h11                               0.16.0
hf-xet                            1.1.8
httpcore                          1.0.9
httptools                         0.6.4
httpx                             0.28.1
huggingface-hub                   0.34.4
idna                              3.10
interegular                       0.3.3
jedi                              0.19.2
Jinja2                            3.1.6
jiter                             0.10.0
joblib                            1.5.1
jsonpatch                         1.33
jsonpointer                       3.0.0
jsonschema                        4.25.1
jsonschema-specifications         2025.4.1
langchain                         0.3.27
langchain-core                    0.3.75
langchain-text-splitters          0.3.9
langsmith                         0.4.18
lark                              1.2.2
llguidance                        0.7.30
llvmlite                          0.44.0
lm-format-enforcer                0.10.12
markdown-it-py                    4.0.0
MarkupSafe                        3.0.2
mdurl                             0.1.2
mistral_common                    1.8.4
mpmath                            1.3.0
msgpack                           1.1.1
msgspec                           0.19.0
multidict                         6.6.4
networkx                          3.5
ninja                             1.13.0
numba                             0.61.2
numpy                             2.2.6
nvidia-cublas-cu12                12.6.4.1
nvidia-cuda-cupti-cu12            12.6.80
nvidia-cuda-nvrtc-cu12            12.6.77
nvidia-cuda-runtime-cu12          12.6.77
nvidia-cudnn-cu12                 9.5.1.17
nvidia-cufft-cu12                 11.3.0.4
nvidia-cufile-cu12                1.11.1.6
nvidia-curand-cu12                10.3.7.77
nvidia-cusolver-cu12              11.7.1.2
nvidia-cusparse-cu12              12.5.4.2
nvidia-cusparselt-cu12            0.6.3
nvidia-nccl-cu12                  2.26.2
nvidia-nvjitlink-cu12             12.6.85
nvidia-nvtx-cu12                  12.6.77
openai                            1.100.2
openai-harmony                    0.0.4
opencv-python-headless            4.12.0.88
orjson                            3.11.3
outlines_core                     0.2.10
packaging                         25.0
parso                             0.8.4
partial-json-parser               0.2.1.1.post6
pillow                            11.3.0
pip                               25.2
prometheus_client                 0.22.1
prometheus-fastapi-instrumentator 7.1.0
prompt_toolkit                    3.0.51
propcache                         0.3.2
protobuf                          6.32.0
psutil                            7.0.0
ptpython                          3.0.30
py-cpuinfo                        9.0.0
pybase64                          1.4.2
pycountry                         24.6.1
pycparser                         2.22
pydantic                          2.11.7
pydantic_core                     2.33.2
pydantic-extra-types              2.10.5
Pygments                          2.19.1
python-dotenv                     1.1.1
python-json-logger                3.3.0
python-multipart                  0.0.20
PyYAML                            6.0.2
pyzmq                             27.0.1
ray                               2.48.0
referencing                       0.36.2
regex                             2025.7.33
requests                          2.32.5
requests-toolbelt                 1.0.0
rich                              14.1.0
rich-toolkit                      0.15.0
rignore                           0.6.4
rpds-py                           0.27.0
safetensors                       0.6.2
scikit-learn                      1.7.1
scipy                             1.16.1
sentence-transformers             5.1.0
sentencepiece                     0.2.1
sentry-sdk                        2.35.0
setproctitle                      1.3.6
setuptools                        79.0.1
shellingham                       1.5.4
six                               1.17.0
sniffio                           1.3.1
soundfile                         0.13.1
soxr                              0.5.0.post1
SQLAlchemy                        2.0.43
starlette                         0.47.2
sympy                             1.14.0
tenacity                          9.1.2
threadpoolctl                     3.6.0
tiktoken                          0.11.0
tokenizers                        0.21.4
torch                             2.7.1
torchaudio                        2.7.1
torchvision                       0.22.1
tqdm                              4.67.1
transformers                      4.55.2
triton                            3.3.1
typer                             0.16.1
typing_extensions                 4.14.1
typing-inspection                 0.4.1
urllib3                           2.5.0
uvicorn                           0.35.0
uvloop                            0.21.0
vllm                              0.10.1.1
watchfiles                        1.1.0
wcwidth                           0.2.13
websockets                        15.0.1
xformers                          0.0.31
xgrammar                          0.1.21
yarl                              1.20.1
zstandard                         0.24.0
